Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.01471,0.0,8.45,2.4000000954,2.5823426247,2.399,1.64,4.0115,4.176,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7167,0.2688,0.002575,0.0007034,0.00639,-1.0,0.01455,0.67,0.938,0.921,0.97
0.01471,0.0,8.45,2.4155392647,2.5827736855,2.415,1.653,4.013,4.172,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7163,0.2692,0.002578,0.0007042,0.006397,-1.0,0.01457,0.637,0.912,0.895,0.946
0.01471,0.0,8.45,2.5032644272,2.5850920677,2.503,1.726,4.0211,4.147,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7138,0.2715,0.002596,0.0007091,0.006441,-1.0,0.01465,0.455,0.768,0.747,0.809
0.01471,0.0,8.45,2.5822041035,2.5870244503,2.582,1.791,4.0275,4.121,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7113,0.2739,0.002615,0.0007142,0.006486,-1.0,0.01474,0.292,0.636,0.612,0.682
0.01471,0.0,8.45,2.5999999046,2.5874414444,2.6,1.806,4.0288,4.114,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,0.255,0.605,0.58,0.653
0.01471,0.0,8.45,2.6456439495,2.5884816647,2.646,1.843,4.0318,4.097,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,0.162,0.527,0.5,0.577
0.01471,0.0,8.45,2.7040615082,2.5897541046,2.704,1.891,4.0353,4.072,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,0.042,0.424,0.396,0.477
0.01471,0.0,8.45,2.7830173969,2.591376543,2.783,1.955,4.039,4.035,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-0.118,0.281,0.252,0.337
0.01471,0.0,8.45,2.7999999523,2.591711998,2.8,1.969,4.0397,4.027,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-0.153,0.25,0.22,0.306
0.01471,0.0,8.45,2.8234202862,2.5921666622,2.824,1.988,4.0406,4.015,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-0.2,0.207,0.176,0.264
0.01471,0.0,8.45,2.8744838238,2.5931286812,2.875,2.03,4.0418,3.986,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-0.305,0.108,0.077,0.166
0.01471,0.0,8.45,2.9318590164,2.5941638947,2.932,2.077,4.0422,3.949,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-0.423,-0.009,-0.04,0.05
0.01471,0.0,8.45,2.988373518,2.5951390266,2.989,2.124,4.0416,3.908,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-0.539,-0.128,-0.159,-0.07
0.01471,0.0,8.45,3.0,2.5953342915,3.0,2.133,4.0413,3.899,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-0.563,-0.153,-0.185,-0.096
0.01471,0.0,8.45,3.0355639458,2.595921278,3.036,2.162,4.0402,3.871,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-0.635,-0.232,-0.263,-0.175
0.01471,0.0,8.45,3.0865132809,2.5967350006,3.086,2.204,4.0366,3.822,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-0.741,-0.355,-0.385,-0.301
0.01471,0.0,8.45,3.1321935654,2.5974388123,3.132,2.242,4.0321,3.772,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-0.835,-0.472,-0.5,-0.421
0.01471,0.0,8.45,3.1792898178,2.5981402397,3.179,2.281,4.0257,3.714,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-0.933,-0.602,-0.628,-0.555
0.01471,0.0,8.45,3.2000000477,2.598441124,3.199,2.298,4.0218,3.684,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-0.976,-0.664,-0.688,-0.62
0.01471,0.0,8.45,3.2214076519,2.5987474918,3.221,2.316,4.0174,3.651,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-1.02,-0.73,-0.752,-0.689
0.01471,0.0,8.45,3.2511646748,2.5991654396,3.25,2.341,4.0102,3.602,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-1.082,-0.826,-0.845,-0.79
0.01471,0.0,8.45,3.2787802219,2.5995457172,3.278,2.364,4.0027,3.552,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-1.14,-0.919,-0.935,-0.89
0.01471,0.0,8.45,3.3019995689,2.5998599529,3.301,2.385,3.9953,3.505,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-1.191,-1.004,-1.017,-0.981
0.01471,0.0,8.45,3.3294620514,2.6002247334,3.328,2.413,3.9886,3.454,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-1.262,-1.105,-1.115,-1.088
0.01471,0.0,8.45,3.3345727921,2.6002919674,3.333,2.419,3.9877,3.445,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-1.277,-1.123,-1.133,-1.107
0.01471,0.0,8.45,3.347173214,2.6004564762,3.346,2.449,3.9994,3.463,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-1.353,-1.148,-1.163,-1.121
0.01471,0.0,8.45,3.3506159782,2.6005012989,3.349,2.465,4.0081,3.482,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-1.392,-1.146,-1.166,-1.113
0.01471,0.0,8.45,3.3521924019,2.6005215645,3.351,2.479,4.0172,3.504,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-1.428,-1.14,-1.163,-1.099
0.01471,0.0,8.45,3.3531923294,2.6005346775,3.352,2.499,4.0286,3.531,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-1.477,-1.134,-1.161,-1.084
0.01471,0.0,8.45,3.3536913395,2.6005411148,3.352,2.517,4.0381,3.551,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-1.522,-1.133,-1.164,-1.077
0.01471,0.0,8.45,3.3539943695,2.6005449295,3.352,2.533,4.0461,3.566,1.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-9.999999999999999e-31,0.0,0.7107,0.2745,0.00262,0.0007154,0.006497,-1.0,0.01476,-1.563,-1.135,-1.169,-1.074
